#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
0 small 50.5 1.0 0.00 -5.70784 2.90192 -6.52371
1 small 50.5 -.9 0.00 -5.12791 0.014031 -9.422
2 small 50.5 .6 0.00 -5.16868 3.13393 -6.35167
3 small 50.5 -.6 0.00 -0.0186353 -1.8315 -11.3023
4 small 50.5 -1.8 0.00 -4.17515 3.92954 -5.59387
5 small 50.5 -.8 0.00 2.57617 -0.417032 -9.89243
6 small 50.5 -.1 0.00 -5.40469 -1.34606 -10.8293
7 small 50.5 1.4 0.00 3.58706 0.422556 -9.00766
8 small 50.5 -1.6 0.00 -4.65095 5.43841 -4.00984
9 small 50.5 .1 0.00 2.9703 1.08506 -8.34501
10 small 50.5 -.8 0.00 -3.92475 4.8066 -4.61644
11 small 50.5 .2 0.00 0.47967 -0.781951 -10.2616
12 small 50.5 .3 0.00 -11.8116 1.65206 -7.81972
13 small 50.5 -1.2 0.00 -0.0837712 -0.563962 -10.0443
14 small 50.5 -.3 0.00 -9.45753 -0.558329 -10.0093
15 small 50.5 -.5 0.00 -4.84811 -1.69518 -11.196
16 small 50.5 .4 0.00 -8.93399 -0.343341 -9.84598
17 small 50.5 -.7 0.00 -4.70493 -0.654156 -10.1195
18 small 50.5 -.6 0.00 -13.7492 2.96386 -6.45554
19 small 50.5 .3 0.00 -4.97814 1.24441 -8.28912
20 small 50.5 -.7 0.00 -5.27509 -1.64502 -11.0812
21 small 50.5 1.3 0.00 -3.91433 3.15572 -6.2269
22 small 50.5 -.2 0.00 -0.411587 1.22065 -8.21576
23 small 50.5 -.4 0.00 -9.05267 0.488614 -8.94454
24 small 50.5 1.2 0.00 -6.24554 1.77933 -7.34914
25 small 50.5 -.2 0.00 -4.04179 0.321423 -8.88436
26 small 50.5 1.9 0.00 -1.51387 3.62757 -5.5198
27 small 50.5 -.4 0.00 -4.22338 1.13945 -8.04962
28 small 50.5 .5 0.00 -7.69389 -0.729014 -9.90534
29 small 50.5 2.7 0.00 -3.78876 0.379952 -8.80053
30 small 50.5 2.6 0.00 -8.76251 1.0591 -8.15863
31 small 50.5 .40 0.00 -4.25099 -2.63216 -11.7951
32 small 50.5 1.0 0.00 -7.89083 0.881927 -8.31602
33 small 50.5 -1.0 0.00 3.68384 -1.21233 -10.4544
34 small 50.5 1.0 0.00 -0.57326 1.91798 -7.27036
35 small 50.5 -.40 0.00 0.380462 2.5761 -6.61982
36 small 50.5 0.0 0.00 -2.57819 2.19991 -7.00731
37 small 50.5 1.2 0.00 0.353608 2.10519 -7.10652
38 small 50.5 -1.0 0.00 0.935419 2.04586 -7.15434
39 small 50.5 .6 0.00 0.663241 0.20322 -9.02677
40 small 50.5 -2.1 0.00 -8.23859 3.16714 -5.99819
41 small 50.5 .7 0.00 -7.05507 1.15294 -7.95329
42 small 50.5 0.00 0.00 -6.08831 1.18823 -7.97275
43 small 50.5 -1.7 0.00 -5.349 1.72823 -7.40902
44 small 50.5 -2.9 0.00 -5.4782 3.06214 -6.06222
45 small 50.5 -1.8 0.00 3.21151 1.63873 -7.4812
46 small 50.5 .2 0.00 -6.72448 1.21219 -7.90045
47 small 50.5 -1.2 0.00 -1.73167 -0.966487 -10.119

0  big 50.5 -1.2 0.00 0.000 0.0 0.0
1  big 50.5 -1.2 0.00 0.000 0.0 0.0
2  big 50.5 -1.2 0.00 0.000 0.0 0.0 
3  big 50.5 -1.2 0.00 0.000 0.0 0.0

#Betas
0 beta  1.27   00.0   0.00   0.000  0.000  0.00
1 beta  1.27   00.0   0.00   0.000  0.000  0.00

#Liquid Scintillators
0 liquid 60.0   00.0   0.00   0.00   0.00   0.00
1 liquid 60.0   00.0   0.00   0.00   0.00   0.00




