#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
0 small 50.5 1.0 0.00 -5.69536 2.91351 -6.44813
1 small 50.5 -.9 0.00 -5.08637 0.0407494 -9.36875
2 small 50.5 .6 0.00 -5.19312 2.98838 -6.29068
3 small 50.5 -.6 0.00 -0.00320435 -1.80133 -11.2154
4 small 50.5 -1.8 0.00 -4.16821 3.85744 -5.50494
5 small 50.5 -.8 0.00 2.56281 -0.39375 -9.79643
6 small 50.5 -.1 0.00 -5.42432 -1.29404 -10.7186
7 small 50.5 1.4 0.00 3.61771 0.438048 -8.90011
8 small 50.5 -1.6 0.00 -4.64241 5.46081 -3.90301
9 small 50.5 .1 0.00 2.9724 1.08319 -8.23162
10 small 50.5 -.8 0.00 -3.91407 4.82926 -4.51325
11 small 50.5 .2 0.00 0.495077 -0.800203 -10.1527
12 small 50.5 .3 0.00 -11.8078 1.67341 -7.71536
13 small 50.5 -1.2 0.00 -0.0754363 -0.560931 -9.92316
14 small 50.5 -.3 0.00 -9.4739 -0.570191 -9.88412
15 small 50.5 -.5 0.00 -4.84371 -1.72675 -11.0956
16 small 50.5 .4 0.00 -8.95893 -0.394793 -9.73825
17 small 50.5 -.7 0.00 -4.69079 -0.688133 -10.0195
18 small 50.5 -.6 0.00 -13.7728 2.9778 -6.35573
19 small 50.5 .3 0.00 -4.9814 1.23189 -8.19111
20 small 50.5 -.7 0.00 -5.31299 -1.63545 -11.0048
21 small 50.5 1.3 0.00 -3.91863 3.13238 -6.17254
22 small 50.5 -.2 0.00 -0.427062 1.17352 -8.14624
23 small 50.5 -.4 0.00 -9.04275 0.479845 -8.85805
24 small 50.5 1.2 0.00 -6.24227 1.88348 -7.33825
25 small 50.5 -.2 0.00 -4.03527 0.397894 -8.85655
26 small 50.5 1.9 0.00 -1.52552 3.68877 -5.5118
27 small 50.5 -.4 0.00 -4.21462 1.24063 -7.98914
28 small 50.5 .5 0.00 -7.70513 -0.609929 -9.89516
29 small 50.5 2.7 0.00 -3.79707 0.493078 -8.71498
30 small 50.5 2.6 0.00 -8.75945 1.15825 -8.14098
31 small 50.5 .40 0.00 -4.24656 -2.52043 -11.7944
32 small 50.5 1.0 0.00 -7.88925 0.871221 -8.36827
33 small 50.5 -1.0 0.00 3.69669 -1.18803 -10.4839
34 small 50.5 1.0 0.00 -0.572875 1.96678 -7.33838
35 small 50.5 -.40 0.00 0.37605 2.59291 -6.67989
36 small 50.5 0.0 0.00 -2.56096 2.23467 -7.01678
37 small 50.5 1.2 0.00 0.354389 2.1401 -7.10205
38 small 50.5 -1.0 0.00 0.930006 2.0703 -7.17713
39 small 50.5 .6 0.00 0.664308 0.221632 -9.06867
40 small 50.5 -2.1 0.00 -8.24376 3.29243 -5.96454
41 small 50.5 .7 0.00 -7.0801 1.29279 -7.94832
42 small 50.5 0.00 0.00 -6.07896 1.32 -7.93114
43 small 50.5 -1.7 0.00 -5.37982 1.88259 -7.33645
44 small 50.5 -2.9 0.00 -5.48164 3.18799 -6.03634
45 small 50.5 -1.8 0.00 3.26782 1.76052 -7.50558
46 small 50.5 .2 0.00 -6.71849 1.31018 -7.91246
47 small 50.5 -1.2 0.00 -1.70729 -0.899073 -10.0741

0  big 50.5 -1.2 0.00 0.000 0.0 0.0
1  big 50.5 -1.2 0.00 0.000 0.0 0.0
2  big 50.5 -1.2 0.00 0.000 0.0 0.0 
3  big 50.5 -1.2 0.00 0.000 0.0 0.0

#Betas
0 beta  1.27   00.0   0.00   0.000  0.000  0.00
1 beta  1.27   00.0   0.00   0.000  0.000  0.00

#Liquid Scintillators
0 liquid 60.0   00.0   0.00   0.00   0.00   0.00
1 liquid 60.0   00.0   0.00   0.00   0.00   0.00




